"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"302",14,"Los Angeles Chargers",LAC,"DST14","-","269","332","298.6","20.2","-41"
"303",14,"Isaiah Bond",CLE,"WR114","22","242","380","308.1","50.4","-26"
"304",14,"Chris Brooks",GB,"RB79","26","278","342","303.3","19.5","-"
"305",14,"DeMario Douglas",NE,"WR115","25","235","388","294.1","50.7","-"
"306",14,"Seth McGowan",IND,"RB80","24","220","386","305.6","44.9","-47"
"307",14,"Cole Kmet",CHI,"TE44","27","231","338","267.7","34.9","-"
"308",14,"George Holani",SEA,"RB81","26","230","388","300.9","49.0","-"
"309",14,"Tahj Brooks",CIN,"RB82","24","275","385","326.2","33.0","-"
"310",14,"Cedric Tillman",FA,"WR116","26","252","403","301.7","46.4","-"
"311",14,"Jalen Royals",KC,"WR117","23","236","363","289.3","32.9","-"
"312",14,"Cade Klubnik",NYJ,"QB42","22","258","311","274.0","20.3","-"
"313",14,"Tyquan Thornton",KC,"WR118","26","234","340","274.4","33.3","-"
"314",14,"Jarquez Hunter",MIA,"RB83","23","217","368","302.7","50.1","-"
"315",14,"Andrei Iosivas",CIN,"WR119","26","264","320","290.6","18.1","-"
"316",14,"Jake Tonges",SF,"TE45","27","257","359","303.8","37.8","-63"
"317",14,"Jalen Milroe",SEA,"QB43","23","245","271","257.7","9.4","-"
"318",14,"Buffalo Bills",BUF,"DST15","-","274","347","305.4","21.5","-22"
"319",14,"Najee Harris",NYG,"RB84","28","281","362","316.2","28.0","-26"
"320",14,"Cleveland Browns",CLE,"DST16","-","276","347","311.8","20.8","-"
"321",14,"Kendre Miller",NO,"RB85","24","281","400","328.4","38.3","-"
"322",14,"LeQuint Allen Jr.",JAC,"RB86","22","272","365","322.0","31.1","-"
"323",14,"Jalen Tolbert",MIA,"WR120","27","212","384","290.0","58.4","-"
"324",14,"Justin Fields",KC,"QB44","27","258","296","273.3","12.3","-"
"325",14,"Matt Hibner",BAL,"TE46","24","188","335","273.5","54.5","-"
"326",14,"Taylen Green",CLE,"QB45","23","264","301","274.8","12.4","-"
"327",14,"Ben Sinnott",WAS,"TE47","24","259","365","306.4","35.5","-"
"328",14,"Marcus Mariota",WAS,"QB46","32","269","291","277.2","8.9","-"
"329",14,"Jameis Winston",NYG,"QB47","32","267","312","282.7","15.5","-"
